id,zona,categoria,titulo,urgencia,nivel_uso,node_mode,resumen,variable,public_popup,zona_asignada,publicable,requiere_validacion,precision_geografica,etica,pct_alerta_zona,nivel_zona,score_zona
est_xantolo,TEXCOCO CENTRO,establecimiento_nocturno,Xantolo / Centro Texcoco,baja_media,REVISION_CONTROLADA,tabla_sin_geometria,Fuera de las zonas base actuales; conservar en tabla para expansión del área de estudio.,establecimiento_nocturno,Revisión futura.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
caso_texopa_2024_2025,TEXCOCO,caso_documentado,Caso documentado Texopa 2024–2025,memoria,REVISION_CONTROLADA,tabla_sin_geometria,Fuera de zonas base; conservar para contexto municipal y futura ampliación.,memoria_documental,Revisión futura.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
caso_regidor_2026,TEXCOCO,caso_documentado,Denuncia abuso sexual autoridad local 2026,revision,REVISION_CONTROLADA,tabla_sin_geometria,Caso institucional en revisión documental; no geolocalizar sin criterio legal y ético.,memoria_documental,No publicar como punto.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
caso_agresion_sexual_arma_2026,TEXCOCO,caso_documentado,Detención por agresión sexual/arma 2026,revision,REVISION_CONTROLADA,tabla_sin_geometria,Contexto municipal; no geolocalizar sin fuente exacta y verificación.,memoria_documental,Revisión.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
caso_feminicidio_adolescente_2026,TEXCOCO,caso_documentado,Vinculación por feminicidio adolescente 2026,memoria,REVISION_CONTROLADA,tabla_sin_geometria,Contexto municipal; no geolocalizar en prototipo inicial.,memoria_documental,Revisión.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
caso_doble_feminicidio_2024_2025,TEXCOCO,caso_documentado,Doble feminicidio Texcoco/Teotihuacán,memoria,REVISION_CONTROLADA,tabla_sin_geometria,Contexto regional; mantener en tabla de memoria documental.,memoria_documental,Revisión.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
stat_ensu_mujeres_inseguridad,DOCUMENTACION,estadistica_contexto,ENSU: percepción de inseguridad mujeres,contexto,DOCUMENTACION,tabla_sin_geometria,Tarjeta estadística para web; no geográfica.,estadistica,Tarjeta.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,sin_geometria_tabla,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
stat_dejar_caminar_noche,DOCUMENTACION,estadistica_contexto,Personas que dejaron de caminar de noche,contexto,DOCUMENTACION,tabla_sin_geometria,Tarjeta estadística contextual.,estadistica,Tarjeta.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,sin_geometria_tabla,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
legal_abuso_sexual_reforma,DOCUMENTACION,marco_legal,Reforma abuso sexual / exhibicionismo,contexto,DOCUMENTACION,tabla_sin_geometria,Ficha legal para explicar tipificación; no geográfica.,legal,Tarjeta legal.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,sin_geometria_tabla,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
legal_hostigamiento,DOCUMENTACION,marco_legal,Hostigamiento sexual,contexto,DOCUMENTACION,tabla_sin_geometria,Ficha legal para módulo de información.,legal,Tarjeta legal.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,sin_geometria_tabla,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
